scenario=phase01-final-tracking
timestamp_utc=20260620T190834Z
duration_seconds=600
sample_seconds=5
nano_cpus=3000000000 memory=4294967296 oom_killed=false
cgroup_start
usage_usec 66804879
user_usec 58669314
system_usec 8135565
nice_usec 988
core_sched.force_idle_usec 0
nr_periods 418
nr_throttled 190
throttled_usec 14520517
nr_bursts 0
burst_usec 0
176099328
177917952
low 0
high 0
max 0
oom 0
oom_kill 0
oom_group_kill 0
sock_throttled 0
samples_begin
sample_utc=2026-06-20T19:15:58Z	cpu=287.81%	memory=120.2MB / 4.295GB
sample_utc=2026-06-20T19:16:03Z	cpu=287.94%	memory=132.8MB / 4.295GB
sample_utc=2026-06-20T19:16:08Z	cpu=288.06%	memory=119.7MB / 4.295GB
sample_utc=2026-06-20T19:16:13Z	cpu=288.18%	memory=161.2MB / 4.295GB
sample_utc=2026-06-20T19:16:19Z	cpu=288.29%	memory=151.5MB / 4.295GB
sample_utc=2026-06-20T19:16:24Z	cpu=288.42%	memory=147.3MB / 4.295GB
sample_utc=2026-06-20T19:16:29Z	cpu=288.52%	memory=161.3MB / 4.295GB
sample_utc=2026-06-20T19:16:34Z	cpu=288.64%	memory=137.6MB / 4.295GB
sample_utc=2026-06-20T19:16:39Z	cpu=288.75%	memory=120.2MB / 4.295GB
sample_utc=2026-06-20T19:16:44Z	cpu=288.85%	memory=119.8MB / 4.295GB
sample_utc=2026-06-20T19:16:49Z	cpu=288.96%	memory=120.4MB / 4.295GB
sample_utc=2026-06-20T19:16:54Z	cpu=289.06%	memory=137.3MB / 4.295GB
sample_utc=2026-06-20T19:16:59Z	cpu=289.16%	memory=120.2MB / 4.295GB
sample_utc=2026-06-20T19:17:04Z	cpu=289.26%	memory=126.5MB / 4.295GB
sample_utc=2026-06-20T19:17:09Z	cpu=289.35%	memory=147.8MB / 4.295GB
sample_utc=2026-06-20T19:17:14Z	cpu=289.46%	memory=160.9MB / 4.295GB
sample_utc=2026-06-20T19:17:19Z	cpu=289.55%	memory=119.9MB / 4.295GB
sample_utc=2026-06-20T19:17:24Z	cpu=289.64%	memory=147.3MB / 4.295GB
sample_utc=2026-06-20T19:17:29Z	cpu=289.73%	memory=120.5MB / 4.295GB
sample_utc=2026-06-20T19:17:34Z	cpu=289.82%	memory=146MB / 4.295GB
sample_utc=2026-06-20T19:17:39Z	cpu=289.91%	memory=161MB / 4.295GB
sample_utc=2026-06-20T19:17:44Z	cpu=289.99%	memory=160.6MB / 4.295GB
sample_utc=2026-06-20T19:17:49Z	cpu=290.08%	memory=119.4MB / 4.295GB
sample_utc=2026-06-20T19:17:54Z	cpu=290.15%	memory=148.5MB / 4.295GB
sample_utc=2026-06-20T19:18:00Z	cpu=290.25%	memory=121.2MB / 4.295GB
sample_utc=2026-06-20T19:18:05Z	cpu=290.32%	memory=161.1MB / 4.295GB
sample_utc=2026-06-20T19:18:10Z	cpu=290.40%	memory=132.7MB / 4.295GB
sample_utc=2026-06-20T19:18:15Z	cpu=290.47%	memory=148.2MB / 4.295GB
sample_utc=2026-06-20T19:18:20Z	cpu=290.56%	memory=161.1MB / 4.295GB
